concept,games,credits,credits_n,credits_confidence,licence,licence_confidence,licence_source,identical_art,distinct_art,images,category,mods,minetest_game,mineclonia,mineclone2,asuna
butterfly_violet,2,,0,game,CC BY-SA 3.0,mod,mods/butterflies/license.txt | mods/minetest_game/butterflies/license.txt,yes,1,2,other,butterflies,butterflies_butterfly_violet,,,butterflies_butterfly_violet
butterfly_violet_animated,2,,0,game,CC BY-SA 3.0,mod,mods/butterflies/license.txt | mods/minetest_game/butterflies/license.txt,yes,1,2,other,butterflies,butterflies_butterfly_violet_animated,,,butterflies_butterfly_violet_animated
butterfly_white,2,,0,game,CC BY-SA 3.0,mod,mods/butterflies/license.txt | mods/minetest_game/butterflies/license.txt,yes,1,2,other,butterflies,butterflies_butterfly_white,,,butterflies_butterfly_white
butterfly_white_animated,2,,0,game,CC BY-SA 3.0,mod,mods/butterflies/license.txt | mods/minetest_game/butterflies/license.txt,yes,1,2,other,butterflies,butterflies_butterfly_white_animated,,,butterflies_butterfly_white_animated
ca,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_signs,,_ca,_ca,
cactus,2,,0,game,CC BY-SA 3.0 / MIT | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC BY 3.0 / CC0 / MIT,unsplit,mods/ITEMS/mcl_flowerpots/license.txt | mods/x_farming/LICENSE.txt,no,2,2,"item,other","mcl_flowerpots,x_farming",,mcl_flowerpots_cactus,,x_farming_cactus
cactus_bottom,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_core,,mcl_core_cactus_bottom,mcl_core_cactus_bottom,
cactus_flower,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC0 / MIT,unsplit,LEGAL.md | mods/ethereal/license.txt,no,2,2,"item,other","ethereal,mcl_core",,cactus_flower,,ethereal_cactus_flower
cake,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_cake,,cake,cake,
cake_bottom,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_cake,,cake_bottom,cake_bottom,
cake_inner,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_cake,,cake_inner,cake_inner,
cake_side,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_cake,,cake_side,cake_side,
cake_top,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_cake,,cake_top,cake_top,
cart,2,,0,game,CC BY 3.0 / CC0,ambiguous,mods/carts/license.txt | mods/minetest_game/carts/license.txt,yes,1,2,other,carts,carts_cart,,,carts_cart
cart_front,2,,0,game,CC BY 3.0 / CC0,ambiguous,mods/carts/license.txt | mods/minetest_game/carts/license.txt,yes,1,2,other,carts,carts_cart_front,,,carts_cart_front
cart_side,2,,0,game,CC BY 3.0 / CC0,ambiguous,mods/carts/license.txt | mods/minetest_game/carts/license.txt,yes,1,2,other,carts,carts_cart_side,,,carts_cart_side
cart_top,2,,0,game,CC BY 3.0 / CC0,ambiguous,mods/carts/license.txt | mods/minetest_game/carts/license.txt,yes,1,2,other,carts,carts_cart_top,,,carts_cart_top
cartography_table_side1,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_cartography_table,,cartography_table_side1,mcl_cartography_table_side1,
cartography_table_side2,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_cartography_table,,cartography_table_side2,mcl_cartography_table_side2,
cartography_table_side3,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_cartography_table,,cartography_table_side3,mcl_cartography_table_side3,
cartography_table_top,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_cartography_table,,cartography_table_top,mcl_cartography_table_top,
cedille,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_signs,,_cedille,_cedille,
cent,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_signs,,_cent,_cent,
character_1,2,,0,game,CC BY-SA 3.0 / CC0 | MIT,unsplit,mods/PLAYER/mcl_skins/LICENSE.txt | mods/skinsdb/CREDITS.md,no,2,2,"other,player","mcl_skins,skinsdb",,mcl_skins_character_1,,character_1
charcoal,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_core,,mcl_core_charcoal,mcl_core_charcoal,
chest_lock,2,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain,ambiguous,mods/default/license.txt | mods/minetest_game/default/license.txt,yes,1,2,other,default,default_chest_lock,,,default_chest_lock
chestplate_trim,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_armor,,chestplate_trim,chestplate_trim,
chrysanthemum_green,2,,0,game,CC BY-SA 3.0,mod,mods/flowers/license.txt | mods/minetest_game/flowers/license.txt,yes,1,2,other,flowers,flowers_chrysanthemum_green,,,flowers_chrysanthemum_green
cl,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_signs,,_cl,_cl,
clear_icon,2,,0,game,CC BY-SA 3.0,mod,mods/creative/license.txt | mods/minetest_game/creative/license.txt,yes,1,2,other,creative,creative_clear_icon,,,creative_clear_icon
cloud,2,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain,ambiguous,mods/default/license.txt | mods/minetest_game/default/license.txt,yes,1,2,other,default,default_cloud,,,default_cloud
cm,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_signs,,_cm,_cm,
co,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_signs,,_co,_co,
coarse_dirt,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_core,,mcl_core_coarse_dirt,mcl_core_coarse_dirt,
coast_armor_trim_smithing_template,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_armor,,coast_armor_trim_smithing_template,coast_armor_trim_smithing_template,
coast_boots,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_armor,,coast_boots,coast_boots,
coast_chestplate,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_armor,,coast_chestplate,coast_chestplate,
coast_helmet,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_armor,,coast_helmet,coast_helmet,
coast_leggings,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_armor,,coast_leggings,coast_leggings,
composter_bottom,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_composters,,mcl_composter_bottom,mcl_composter_bottom,
composter_compost,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_composters,,mcl_composter_compost,mcl_composter_compost,
composter_ready,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_composters,,mcl_composter_ready,mcl_composter_ready,
composter_side,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_composters,,mcl_composter_side,mcl_composter_side,
composter_top,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_composters,,mcl_composter_top,mcl_composter_top,
coniferous_litter,2,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain,ambiguous,mods/default/license.txt | mods/minetest_game/default/license.txt,yes,1,2,other,default,default_coniferous_litter,,,default_coniferous_litter
coniferous_litter_side,2,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain,ambiguous,mods/default/license.txt | mods/minetest_game/default/license.txt,yes,1,2,other,default,default_coniferous_litter_side,,,default_coniferous_litter_side
copper_lump,2,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain,ambiguous,mods/default/license.txt | mods/minetest_game/default/license.txt,yes,1,2,other,default,default_copper_lump,,,default_copper_lump
copper_ore,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_deepslate,,mcl_deepslate_copper_ore,mcl_copper_ore,
copyright,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_signs,,_copyright,_copyright,
coral_brown,2,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain,ambiguous,mods/default/license.txt | mods/minetest_game/default/license.txt,yes,1,2,other,default,default_coral_brown,,,default_coral_brown
coral_cyan,2,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain,ambiguous,mods/default/license.txt | mods/minetest_game/default/license.txt,yes,1,2,other,default,default_coral_cyan,,,default_coral_cyan
cotton_wild,2,,0,game,CC BY-SA 3.0 / CC BY 3.0,ambiguous,mods/farming/license.txt | mods/minetest_game/farming/license.txt,yes,1,2,other,farming,farming_cotton_wild,,,farming_cotton_wild
cr,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_signs,,_cr,_cr,
craftguide_arrow,2,,0,game,CC BY-SA 3.0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,mod,LEGAL.md | mods/HELP/mcl_craftguide/license.txt,yes,1,2,"help,other",mcl_craftguide,,craftguide_arrow,craftguide_arrow,
craftguide_book,2,,0,game,CC BY-SA 3.0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,mod,LEGAL.md | mods/HELP/mcl_craftguide/license.txt,yes,1,2,"help,other",mcl_craftguide,,craftguide_book,craftguide_book,
craftguide_zoomin_icon,2,,0,game,CC BY-SA 3.0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,mod,LEGAL.md | mods/HELP/mcl_craftguide/license.txt,yes,1,2,"help,other",mcl_craftguide,,craftguide_zoomin_icon,craftguide_zoomin_icon,
craftguide_zoomout_icon,2,,0,game,CC BY-SA 3.0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,mod,LEGAL.md | mods/HELP/mcl_craftguide/license.txt,no,2,2,"help,other",mcl_craftguide,,craftguide_zoomout_icon,craftguide_zoomout_icon,
crafting_arrow,2,,0,game,CC BY-SA 3.0,mod,mods/minetest_game/sfinv/license.txt | mods/sfinv/license.txt,yes,1,2,other,sfinv,sfinv_crafting_arrow,,,sfinv_crafting_arrow
crafting_creative_active,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"hud,other",mcl_inventory,,crafting_creative_active,crafting_creative_active,
crafting_creative_active_down,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"hud,other",mcl_inventory,,crafting_creative_active_down,crafting_creative_active_down,
crafting_creative_bg,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"hud,other",mcl_inventory,,crafting_creative_bg,crafting_creative_bg,
crafting_creative_bg_dark,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"hud,other",mcl_inventory,,crafting_creative_bg_dark,crafting_creative_bg_dark,
crafting_creative_inactive,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"hud,other",mcl_inventory,,crafting_creative_inactive,crafting_creative_inactive,
crafting_creative_inactive_down,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"hud,other",mcl_inventory,,crafting_creative_inactive_down,crafting_creative_inactive_down,
crafting_creative_marker,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"hud,other",mcl_inventory,,crafting_creative_marker,crafting_creative_marker,
crafting_creative_next,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"hud,other",mcl_inventory,,crafting_creative_next,crafting_creative_next,
crafting_creative_prev,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"hud,other",mcl_inventory,,crafting_creative_prev,crafting_creative_prev,
crafting_creative_trash,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"hud,other",mcl_inventory,,crafting_creative_trash,crafting_creative_trash,
crafting_formspec_arrow,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"hud,other",mcl_inventory,,crafting_formspec_arrow,crafting_formspec_arrow,
crafting_formspec_bg,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"hud,other",mcl_inventory,,crafting_formspec_bg,crafting_formspec_bg,
crafting_workbench_front,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_crafting_table,,crafting_workbench_front,crafting_workbench_front,
crafting_workbench_side,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_crafting_table,,crafting_workbench_side,crafting_workbench_side,
crafting_workbench_top,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_crafting_table,,crafting_workbench_top,crafting_workbench_top,
credits_bg,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"hud,other",mcl_credits,,credits_bg,credits_bg,
crying_obsidian,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_core,,mcl_core_crying_obsidian,mcl_core_crying_obsidian,
crying_obsidian_tear,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_core,,mcl_core_crying_obsidian_tear,mcl_core_crying_obsidian_tear,
crying_obsidian_tear2,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_core,,mcl_core_crying_obsidian_tear2,mcl_core_crying_obsidian_tear2,
crying_obsidian_tear3,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_core,,mcl_core_crying_obsidian_tear3,mcl_core_crying_obsidian_tear3,
currency,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_signs,,_currency,_currency,
cyr_d,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_d_,_cyr_d_,
cyr_h,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_h_,_cyr_h_,
cyr_i,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_i_,_cyr_i_,
cyr_i_breve,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_i_breve_,_cyr_i_breve_,
cyr_i_circumflex,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_i_circumflex_,_cyr_i_circumflex_,
cyr_i_diaresis,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_i_diaresis_,_cyr_i_diaresis_,
cyr_i_grave,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_i_grave_,_cyr_i_grave_,
cyr_i_macron,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_i_macron_,_cyr_i_macron_,
cyr_k,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_k,_cyr_k,
cyr_lje,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_lje_,_cyr_lje_,
cyr_m,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_m,_cyr_m,
cyr_n,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_n,_cyr_n,
cyr_t,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_t,_cyr_t,
cyr_u,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_u_,_cyr_u_,
cyr_u_breve,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_u_breve_,_cyr_u_breve_,
cyr_u_diaresis,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_u_diaresis_,_cyr_u_diaresis_,
cyr_u_macron,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_u_macron_,_cyr_u_macron_,
cyr_uu,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_uu,_cyr_uu,
cyr_v,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_signs,,_cyr_v,_cyr_v,
dandelion_white,2,,0,game,CC BY-SA 3.0,mod,mods/flowers/license.txt | mods/minetest_game/flowers/license.txt,yes,1,2,other,flowers,flowers_dandelion_white,,,flowers_dandelion_white
dandelion_yellow,2,,0,game,CC BY-SA 3.0,mod,mods/flowers/license.txt | mods/minetest_game/flowers/license.txt,yes,1,2,other,flowers,flowers_dandelion_yellow,,,flowers_dandelion_yellow
deepslate,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_deepslate,,mcl_deepslate,mcl_deepslate,
degree,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_signs,,_degree,_degree,
desert_cobble,2,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain,ambiguous,mods/default/license.txt | mods/minetest_game/default/license.txt,yes,1,2,other,default,default_desert_cobble,,,default_desert_cobble
desert_sand,2,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain,ambiguous,mods/default/license.txt | mods/minetest_game/default/license.txt,yes,1,2,other,default,default_desert_sand,,,default_desert_sand
desert_sand_soil,2,,0,game,CC BY-SA 3.0 / CC BY 3.0,ambiguous,mods/farming/license.txt | mods/minetest_game/farming/license.txt,yes,1,2,other,farming,farming_desert_sand_soil,,,farming_desert_sand_soil
desert_sand_soil_wet,2,,0,game,CC BY-SA 3.0 / CC BY 3.0,ambiguous,mods/farming/license.txt | mods/minetest_game/farming/license.txt,yes,1,2,other,farming,farming_desert_sand_soil_wet,,,farming_desert_sand_soil_wet
desert_sand_soil_wet_side,2,,0,game,CC BY-SA 3.0 / CC BY 3.0,ambiguous,mods/farming/license.txt | mods/minetest_game/farming/license.txt,yes,1,2,other,farming,farming_desert_sand_soil_wet_side,,,farming_desert_sand_soil_wet_side
desert_sandstone,2,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain,ambiguous,mods/default/license.txt | mods/minetest_game/default/license.txt,yes,1,2,other,default,default_desert_sandstone,,,default_desert_sandstone
desert_sandstone_block,2,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain,ambiguous,mods/default/license.txt | mods/minetest_game/default/license.txt,yes,1,2,other,default,default_desert_sandstone_block,,,default_desert_sandstone_block
desert_sandstone_brick,2,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain,ambiguous,mods/default/license.txt | mods/minetest_game/default/license.txt,yes,1,2,other,default,default_desert_sandstone_brick,,,default_desert_sandstone_brick
desert_stone,2,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain,ambiguous,mods/default/license.txt | mods/minetest_game/default/license.txt,yes,1,2,other,default,default_desert_stone,,,default_desert_stone
desert_stone_block,2,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain,ambiguous,mods/default/license.txt | mods/minetest_game/default/license.txt,yes,1,2,other,default,default_desert_stone_block,,,default_desert_stone_block
desert_stone_brick,2,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain,ambiguous,mods/default/license.txt | mods/minetest_game/default/license.txt,yes,1,2,other,default,default_desert_stone_brick,,,default_desert_stone_brick
diaresis,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_signs,,_diaresis,_diaresis,
diorite,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_core,,mcl_core_diorite,mcl_core_diorite,
diorite_smooth,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,yes,1,2,"item,other",mcl_core,,mcl_core_diorite_smooth,mcl_core_diorite_smooth,
dirt_grass_shadow,2,,0,game,CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,game,LEGAL.md,no,2,2,"item,other",mcl_core,,mcl_dirt_grass_shadow,mcl_dirt_grass_shadow,
